亜（亞）	ア	亜流，亜麻，亜熱帯	　
臼	キュウ　うす	臼歯，脱臼石臼	　
求	キュウ　もとめる	求職，要求，追求求める，求め	　
究	キュウ　きわめる	究明，研究，学究究める	⇔窮める，極める
泣	キュウ　なく	号泣，感泣泣く，泣き沈む	　
急	キュウ　いそぐ	急速，急務，緊急急ぐ，急ぎ	　
級	キュウ	等級，上級，階級	　
糾	キュウ	糾弾，紛糾	　
宮	キュウ　グウ　　ク　みや	宮殿，宮廷，離宮宮司，神宮，東宮宮，宮様	「宮内庁」などと使う。 
救	キュウ　すくう	救助，救援，救急救う，救い	　
球	キュウ　たま	球形，球技，地球球	⇔玉，弾
給	キュウ	給水，配給，月給	　
嗅	キュウ　かぐ	嗅覚嗅ぐ	＊［（付）第２の３参照］
窮	キュウ　きわめる　きわまる	窮極，窮屈，困窮窮める窮まる	⇔究める，極める⇔極まる
牛	ギュウ　うし	牛馬，牛乳，闘牛牛	　
去	キョ　コ　さる	去年，去就，除去過去去る，去る○日	　
巨	キョ	巨大，巨匠，巨万	　
居	キョ　いる	居住，居室，住居居る，芝居	居士（こじ）
拒	キョ　こばむ	拒絶，拒否拒む	　
拠（據）	キョ　コ	拠点，占拠，根拠証拠	　
挙（擧）	キョ　あげる　あがる	挙手，挙国，壮挙挙げる，挙げて〔副〕挙がる	⇔上げる，揚げる⇔上がる，揚がる
虚（虛）	キョ　　コ	虚無，虚偽，空虚虚空，虚無僧	　
許	キョ　ゆるす	許可，許諾，特許許す，許し	　
距	キョ	距離	　
魚	ギョ　うお　さかな	魚類，金魚，鮮魚魚，魚市場魚，魚屋，煮魚	雑魚（ざこ）
御	ギョ　ゴ　おん	御者，制御御飯，御用，御殿御中，御礼	　
漁	ギョ　リョウ	漁業，漁船，漁村漁師，大漁，不漁	「猟」の字音の転用。
凶	キョウ	凶悪，凶作，吉凶	　
共	キョウ　とも	共同，共通，公共共に，共々，共食い	　
叫	キョウ　さけぶ	叫喚，絶叫叫ぶ，叫び	　
狂	キョウ　くるう　くるおしい	狂気，狂言，熱狂狂う狂おしい	　
京	キョウ　ケイ	京風，上京，帰京  	「京浜」，「京阪」などと使う。
享	キョウ	享有，享受，享楽	　
供	キョウ　　ク　そなえる　とも	供給，提供，自供供物，供養供える，お供え供，子供	⇔備える
協	キョウ	協力，協会，妥協	　
況	キョウ	状況，実況，概況	　
峡（峽）	キョウ	峡谷，地峡，海峡	　
挟（挾）	キョウ　はさむ　はさまる	挟撃挟む挟まる	　
狭（狹）	キョウ　せまい　せばめる　せばまる	狭量，広狭，偏狭狭い，狭苦しい狭める狭まる	　
恐	キョウ　おそれる　おそろしい	恐怖，恐縮，恐慌恐れる，恐れ，恐らく恐ろしい	⇔畏れる
恭	キョウ　うやうやしい	恭賀，恭順恭しい	　
胸	キョウ　むね　　むな	胸囲，胸中，度胸胸胸板，胸毛，胸騒ぎ	　
脅	キョウ　おびやかす　おどす　おどかす	脅迫，脅威脅かす脅す，脅し，脅し文句脅かす	　
強	キョウ　ゴウ　つよい　つよまる　つよめる　しいる	強弱，強要，勉強強引，強情，強盗強い，強がる強まる強める強いる，無理強い	　
教	キョウ　おしえる　おそわる	教育，教訓，宗教教える，教え教わる	　
郷（鄕）	キョウ　ゴウ	郷里，郷土，異郷郷士，近郷，在郷	　
境	キョウ　　ケイ　さかい	境界，境地，逆境境内境，境目	　
橋	キョウ　はし	橋脚，鉄橋，歩道橋橋，丸木橋	　
矯	キョウ　ためる	矯正，奇矯矯める，矯め直す	　
鏡	キョウ　かがみ	鏡台，望遠鏡，反射鏡鏡	眼鏡（めがね）
競	キョウ　ケイ　きそう　せる	競争，競技，競泳競馬，競輪競う競る，競り合う	　
響（響）	キョウ　ひびく	音響，影響，交響楽響く，響き	　
驚	キョウ　おどろく　おどろかす	驚異，驚嘆驚く，驚き驚かす	　
仰	ギョウ　　コウ　あおぐ　おおせ	仰視，仰天，仰角信仰仰ぐ仰せ	　
暁（曉）	ギョウ　あかつき	暁天，今暁，通暁暁	　
業	ギョウ　ゴウ　わざ	業績，職業，卒業業病，罪業，自業自得業，仕業，早業	⇔技
凝	ギョウ　こる　こらす	凝固，凝結，凝視凝る，凝り性凝らす	　
曲	キョク　まがる　まげる	曲線，曲面，名曲曲がる曲げる	　
局	キョク	局部，時局，結局	　
極	キョク　ゴク　きわめる　　きわまる　きわみ	極限，終極，積極的極上，極秘，至極極める，極め付き，極めて〔副〕極まる，極まり極み	⇔究める，窮める⇔窮まる 
玉	ギョク　たま	玉座，玉石，宝玉玉，目玉	⇔球，弾
巾	キン	頭巾，雑巾	　
斤	キン	斤量	　
均	キン	均等，均一，平均	　
近	キン　ちかい	近所，近代，接近近い，近づく，近道	　
金	キン　コン　かね　　かな	金属，金銭，純金金色，金剛力，黄金金，金持ち，針金金物，金具，金縛り	　
菌	キン	細菌，殺菌，保菌者	　
勤（勤）	キン　　ゴン　つとめる　つとまる	勤務，勤勉，出勤勤行勤める，勤め勤まる	⇔努める，務める⇔務まる
琴	キン　こと	琴線，木琴，手風琴琴	　
筋	キン　すじ	筋肉，筋骨，鉄筋筋，筋書，大筋	　
僅	キン　わずか	僅差僅かだ	＊［（付）第２の３参照］
禁	キン	禁止，禁煙，厳禁	　
緊	キン	緊張，緊密，緊急	　
錦	キン　にしき	錦秋錦絵	　
謹（謹）	キン　つつしむ	謹慎，謹賀，謹呈謹む，謹んで〔副〕	⇔慎む
襟	キン　えり	襟度，開襟，胸襟襟，襟首	　
吟	ギン	吟味，詩吟，苦吟	　
銀	ギン	銀貨，銀行，水銀	　
区（區）	ク	区別，区々，地区	　
句	ク	句集，字句，節句	　
苦	ク　くるしい　くるしむ　くるしめる　にがい　にがる	苦心，苦労，辛苦苦しい，苦しがる，見苦しい苦しむ，苦しみ苦しめる苦い，苦虫，苦々しい苦り切る	　
駆（驅）	ク　かける　かる	駆使，駆逐，先駆駆ける，抜け駆け駆る，駆り立てる	　
具	グ	具体的，具備，道具	　
惧	グ	危惧	＊［（付）第２の３参照］
愚	グ　おろか	愚問，愚鈍，暗愚愚かだ，愚かしい	　
空	クウ　そら　あく　あける　から	空想，空港，上空空，空色，青空空く，空き巣空ける空，空手，空手形	⇔開く，明く⇔開ける，明ける
偶	グウ	偶然，偶数，配偶者	　
遇	グウ	境遇，待遇，遇する	　
隅	グウ　すみ	一隅隅，片隅	　
串	くし	串刺し，串焼き	　
屈	クツ	屈辱，屈伸，不屈，理屈	　
掘	クツ　ほる	掘削，発掘，採掘掘る	　
窟	クツ	巣窟，洞窟	　
熊	くま	熊	　
繰	くる	繰る，繰り返す	　
君	クン　きみ	君主，君臨，諸君君，母君	　
訓	クン	訓練，教訓，音訓	　
勲（勳）	クン	勲功，勲章，殊勲	　
薫（薰）	クン　かおる	薫風，薫陶薫る，薫り	⇔香る
軍	グン	軍隊，軍備，空軍	　
郡	グン	郡部，○○郡	　
群	グン　むれる　むれ　　むら	群居，大群，抜群群れる群れ群すずめ，群千鳥，群がる	　
兄	ケイ　　キョウ　あに	兄事，父兄，義兄兄弟兄	兄（にい）さん「兄弟」は，「ケイテイ」と読むこともある。
刑	ケイ	刑罰，刑法，処刑	　
形	ケイ　ギョウ　かた　かたち	形態，形成，図形形相，人形形，形見，手形形	⇔型
系	ケイ	系統，系列，体系	　
径（徑）	ケイ	直径，直情径行	　
茎（莖）	ケイ　くき	球茎，地下茎茎，歯茎	　
係	ケイ　かかる　かかり	係累，係争，関係係る係，係員，庶務係	⇔掛かる⇔掛
型	ケイ　かた	原型，模型，典型型，型紙，血液型	⇔形
契	ケイ　ちぎる	契約，契機，黙契契る，契り	　
計	ケイ　はかる　はからう	計算，計画，寒暖計計る計らう，計らい	時計（とけい）⇔測る，量る，図る，謀る
恵（惠）	ケイ　エ　めぐむ	恵贈，恵与，恩恵恵方参り，知恵恵む，恵み	　
啓	ケイ	啓発，啓示，拝啓	　
掲（揭）	ケイ　かかげる	掲示，掲載，前掲掲げる	　
渓（溪）	ケイ	渓谷，渓流，雪渓	　
経（經）	ケイ　キョウ　へる	経費，経済，経験経文，お経，写経経る	読経（どきょう）
蛍（螢）	ケイ　ほたる	蛍光灯，蛍光塗料蛍	　
敬	ケイ　うやまう	敬意，敬服，尊敬敬う	　
景	ケイ	景気，風景，光景	景色（けしき）
軽（輕）	ケイ　かるい　かろやか	軽快，軽薄，軽率軽い，軽々と，手軽だ軽やかだ	　
傾	ケイ　かたむく　かたむける	傾斜，傾倒，傾向傾く，傾き傾ける	　
携	ケイ　たずさえる　たずさわる	携帯，必携，提携携える携わる	　
継（繼）	ケイ　つぐ	継続，継承，中継継ぐ，継ぎ	⇔接ぐ，次ぐ
詣	ケイ　もうでる	参詣詣でる，初詣	　
慶	ケイ	慶弔，慶祝，慶賀	　
憬	ケイ	憧憬	　
稽	ケイ	稽古，滑稽	＊［（付）第２の３参照］
憩	ケイ　いこい　いこう	休憩憩い憩う	　
警	ケイ	警告，警戒，警察	　
鶏（鷄）	ケイ　にわとり	鶏卵，鶏舎，養鶏鶏	　
芸（藝）	ゲイ	芸術，芸能，文芸	　
迎	ゲイ　むかえる	迎合，歓迎，送迎迎える，出迎え	　
鯨	ゲイ　くじら	鯨油，捕鯨鯨	　
隙	ゲキ　すき	間隙隙間	「隙間」は，「透き間」とも書く。
劇	ゲキ	劇薬，劇場，演劇	　
撃（擊）	ゲキ　うつ	撃退，攻撃，打撃撃つ，早撃ち	⇔打つ，討つ
激	ゲキ　はげしい	激動，感激，激する激しい，激しさ	　
桁	けた	桁違い，橋桁	　
欠（缺）	ケツ　かける　かく	欠乏，欠席，補欠欠ける欠く	　
穴	ケツ　あな	穴居，墓穴穴	　
血	ケツ　ち	血液，血統，鮮血血，鼻血	　
決	ケツ　きめる　きまる	決裂，決意，解決決める，取り決め決まる，決まり	　
結	ケツ　むすぶ　ゆう　ゆわえる	結論，結婚，連結結ぶ，結び結う，元結結わえる	　
傑	ケツ	傑物，傑作，豪傑	　
潔	ケツ　いさぎよい	潔白，清潔，純潔潔い	　
月	ゲツ　ガツ　つき	月曜，明月，歳月正月，九月月，月見，三日月	五月（さつき）五月雨（さみだれ）
犬	ケン　いぬ	犬歯，愛犬，野犬犬	　
件	ケン	件数，事件，条件	　
見	ケン　みる　みえる　みせる	見学，見地，意見見る，下見見える見せる，顔見せ	⇔診る
券	ケン	乗車券，旅券，債券	　
肩	ケン　かた	肩章，双肩，比肩肩	　
建	ケン　　コン　たてる　たつ	建築，建議，封建的建立建てる，建物，二階建て建つ，一戸建ち	⇔立てる⇔立つ
研（硏）	ケン　とぐ	研究，研修研ぐ	　
県（縣）	ケン	県庁，県立，○○県	　
倹（儉）	ケン	倹約，節倹，勤倹	　
兼	ケン　かねる	兼用，兼任，兼職兼ねる	　
剣（劍）	ケン　つるぎ	剣道，剣舞，刀剣剣	　
拳	ケン　こぶし	拳銃，拳法握り拳	　
軒	ケン　のき	軒数，一軒軒，軒先	　
健	ケン　すこやか	健康，健闘，強健健やかだ	　
険（險）	ケン　けわしい	険悪，危険，保険険しい，険しさ	　
圏（圈）	ケン	圏内，圏外，成層圏	　
堅	ケン　かたい	堅固，堅実，中堅堅い	⇔硬い，固い
検（檢）	ケン	検査，検討，点検	　
嫌	ケン　　ゲン　きらう　いや	嫌悪，嫌疑機嫌嫌う，嫌い嫌だ，嫌がる，嫌気がさす	　
献（獻）	ケン　　コン	献上，献身的，文献献立，一献	　
絹	ケン　きぬ	絹布，人絹絹，薄絹	　
遣	ケン　つかう　つかわす	遣外，派遣，分遣遣う，金遣い遣わす	⇔使う
権（權）	ケン　　ゴン	権利，権威，人権権化，権現	　
憲	ケン	憲法，憲章，官憲	　
賢	ケン　かしこい	賢人，賢明，先賢賢い	　
謙	ケン	謙虚，謙譲	　
鍵	ケン　かぎ	鍵盤鍵，鍵穴	　
繭	ケン　まゆ	繭糸繭，繭玉	　
顕（顯）	ケン	顕著，顕彰，顕微鏡	　
験（驗）	ケン　　ゲン	試験，経験，実験験がある，霊験	　
懸	ケン　　ケ　かける　かかる	懸垂，懸賞，懸命懸念，懸想懸ける，命懸け懸かる	⇔掛ける，架ける，賭ける⇔掛かる，架かる
元	ゲン　ガン　もと	元素，元気，多元元祖，元日，元来元，元帳，家元	⇔下，本，基
幻	ゲン　まぼろし	幻滅，幻覚，夢幻幻	　
玄	ゲン	玄米，玄関，幽玄	玄人（くろうと）
言	ゲン　ゴン　いう　こと	言行，言論，宣言言上，伝言，無言言う，物言い言葉，寝言	　
弦	ゲン　つる	上弦，正弦弦	　
限	ゲン　かぎる	限度，制限，期限限る，限り	　
原	ゲン　はら	原因，原理，高原原，野原，松原	海原（うなばら）河原・川原（かわら）
現	ゲン　あらわれる　あらわす	現象，現在，表現現れる，現れ現す	⇔表れる⇔表す，著す
舷	ゲン	舷側，右舷	　
減	ゲン　へる　へらす	減少，増減，加減減る，目減り減らす，人減らし	　
源	ゲン　みなもと	源泉，水源，資源源	　
厳（嚴）	ゲン　　ゴン　おごそか　きびしい	厳格，厳重，威厳荘厳厳かだ厳しい，厳しさ	　
己	コ　キ　おのれ	自己，利己知己，克己己	　
戸	コ　と	戸外，戸籍，下戸戸，雨戸	　
古	コ　ふるい　ふるす	古代，古典，太古古い，古株，古びる使い古す	　
呼	コ　よぶ	呼吸，呼応，点呼呼ぶ，呼び声	　
固	コ　かためる　かたまる　かたい	固定，固有，堅固固める，固め固まる，固まり固い，固さ	固唾（かたず）⇔堅い，硬い
股	コ　また	股間，股関節内股，大股	　
虎	コ　とら	虎穴，猛虎虎	　
孤	コ	孤児，孤独，孤立	　
弧	コ	弧状，括弧，円弧	　
故	コ　ゆえ	故郷，故意，事故故，故に	　
枯	コ　かれる　からす	枯死，枯淡，栄枯枯れる，枯れ木枯らす，木枯らし	　
個	コ	個人，個性，一個	　
庫	コ　　ク	倉庫，文庫，車庫庫裏	　
湖	コ　みずうみ	湖水，湖沼，湖畔湖	　
雇	コ　やとう	雇用，雇員，解雇雇う，日雇い	　
誇	コ　ほこる	誇示，誇大，誇張誇る，誇り，誇らしい	　
鼓	コ　つづみ	鼓動，鼓舞，太鼓鼓，小鼓	　
錮	コ	禁錮	　
顧	コ　かえりみる	顧慮，顧問，回顧顧みる	⇔省みる
五	ゴ　いつ　いつつ	五穀，五色，五目飯五日五つ	五月（さつき）五月雨（さみだれ）
互	ゴ　たがい	互角，互選，相互互い，互いに，互い違い	　
午	ゴ	午前，正午，子午線	　
呉	ゴ	呉服，呉越同舟	　
後	ゴ　コウ　のち　うしろ　あと　おくれる	後刻，前後，午後後続，後悔，後輩後，後添い，後の世後ろ，後ろめたい後，後味，後回し後れる，後れ毛，気後れ	⇔跡，痕⇔遅れる
娯	ゴ	娯楽	　
悟	ゴ　さとる	悟性，覚悟，悔悟悟る，悟り	　
碁	ゴ	碁石，碁盤，囲碁	　
語	ゴ　かたる　かたらう	語学，新語，国語語る，物語語らう，語らい	　
誤	ゴ　あやまる	誤解，正誤，錯誤誤る，誤り	　
護	ゴ	護衛，救護，保護	　
口	コウ　ク　くち	口述，人口，開口口調，口伝，異口同音口，口絵，出口	　
工	コウ　ク	工場，加工，人工工面，細工，大工	　
公	コウ　おおやけ	公平，公私，公園公	　
勾	コウ	勾配，勾留	　
孔	コウ	鼻孔，気孔	　
功	コウ　　ク	功名，功績，成功功徳	　
巧	コウ　たくみ	巧拙，巧妙，技巧巧みな術	　
広（廣）	コウ　ひろい　ひろまる　ひろめる　ひろがる　ひろげる	広大，広言，広義広い，広場，広々と広まる広める広がる，広がり広げる	　
甲	コウ　カン	甲乙，装甲車甲板，甲高い	「甲板」は，「コウハン」とも。
交	コウ　まじわる　まじえる　まじる　まざる　まぜる　かう　かわす	交通，交番，社交交わる，交わり交える交じる交ざる交ぜる，交ぜ織り飛び交う交わす	⇔混じる⇔混ざる⇔混ぜる  
光	コウ　ひかる　ひかり	光線，栄光，観光光る，光り輝く光，稲光	　
向	コウ　むく　むける　むかう　むこう	向上，傾向，趣向向く，向き向ける，顔向け向かう，向かい向こう，向こう側	　
后	コウ	皇后，皇太后	　
好	コウ　このむ　すく	好意，好敵手，良好好む，好み，好ましい好く，好き嫌い，好きな絵	　
江	コウ　え	江湖入り江	　
考	コウ　かんがえる	考慮，思考，参考考える，考え	　
行	コウ　ギョウ　　アン　いく　ゆく　おこなう	行進，行為，旅行行列，行政，修行行脚，行火行く行く，行く末行う，行い	⇔逝く行方（ゆくえ）⇔逝く  
坑	コウ	坑道，炭坑，廃坑	　
孝	コウ	孝行，孝心，不孝	　
抗	コウ	抗争，抗議，対抗	　
攻	コウ　せめる	攻守，攻撃，専攻攻める	　
更	コウ　さら　ふける　ふかす	更新，更迭，変更更に，今更更ける，夜更け更かす，夜更かし	　
効（效）	コウ　きく	効果，効力，時効効く，効き目	⇔利く
幸	コウ　さいわい　さち　しあわせ	幸福，不幸，行幸幸い，幸いな事幸幸せ，幸せな人	　
拘	コウ	拘束，拘留，拘置	　
肯	コウ	肯定，首肯	　
侯	コウ	諸侯，王侯	　
厚	コウ　あつい	厚情，厚生，濃厚厚い，厚み	　
恒（恆）	コウ	恒常，恒例，恒久	　
洪	コウ	洪水，洪積層	　
皇	コウ　オウ	皇帝，皇室，皇后法皇	「天皇」は，「テンノウ」。
紅	コウ　　ク　べに　くれない	紅白，紅茶，紅葉真紅，深紅紅，口紅紅	紅葉（もみじ）
荒	コウ　あらい　あれる　あらす	荒天，荒廃，荒涼荒い，荒波，荒々しい荒れる，荒れ地，大荒れ荒らす，倉庫荒らし	⇔粗い  
郊	コウ	郊外，近郊	　
香	コウ　　キョウ　か　かおり　かおる	香水，香気，線香香車香，色香，移り香香り香る	⇔薫り⇔薫る
候	コウ　そうろう	候補，気候，測候所候文，居候	　
校	コウ	校閲，将校，学校	　
耕	コウ　たがやす	耕作，耕地，農耕耕す	　
航	コウ	航海，航空，就航	　
貢	コウ　　ク　みつぐ	貢献年貢貢ぐ，貢ぎ物	　
降	コウ　おりる　おろす　ふる	降雨，降参，下降降りる，乗り降り降ろす降る，大降り	⇔下りる⇔下ろす，卸す 
高	コウ　たかい　たか　たかまる　たかめる	高低，高級，最高高い，高台，高ぶる高，売上高高まる，高まり高める	　
康	コウ	健康，小康	　
控	コウ　ひかえる	控除，控訴控える，控え	　
梗	コウ	心筋梗塞，脳梗塞	　
黄（黃）	コウ　オウ　き　　こ	黄葉黄金，卵黄黄，黄色い，黄ばむ黄金	硫黄（いおう）
喉	コウ　のど	喉頭，咽喉喉，喉元	　
慌	コウ　あわてる　あわただしい  	恐慌慌てる，大慌て慌ただしい，慌ただしさ，慌ただしげだ	　
港	コウ　みなと	港湾，漁港，出港港	　
硬	コウ　かたい	硬度，硬貨，生硬硬い，硬さ	⇔堅い，固い
絞	コウ　しぼる　しめる　しまる	絞殺，絞首刑絞る，絞り上げる，絞り絞める絞まる	⇔搾る⇔締める⇔締まる
項	コウ	項目，事項，条項	　
溝	コウ　みぞ	下水溝，排水溝溝	　
鉱（鑛）	コウ	鉱物，鉱山，鉄鉱	　
構	コウ　かまえる　かまう	構造，構内，結構構える，構え構う，構わない	　
綱	コウ　つな	綱紀，綱領，大綱綱，横綱	　
酵	コウ	酵母	　
稿	コウ	草稿，原稿，投稿	　
興	コウ　キョウ　おこる　おこす	興行，復興，振興興味，興趣，余興興る興す	⇔起こる⇔起こす
衡	コウ	均衡，平衡，度量衡	　
鋼	コウ　はがね	鋼鉄，鋼材，製鋼鋼	　
講	コウ	講義，講演，聴講	　
購	コウ	購入，購買，購読	　
乞	こう	乞う，命乞い	⇔請う
号（號）	ゴウ	号令，号外，番号	　
合	ゴウ　ガッ　　カッ　あう　あわす　あわせる	合同，合計，結合合併，合宿，合点合戦合う，落ち合う，試合合わす合わせる，問い合わせる	「合点」は，「ガテン」とも。⇔会う，遭う⇔併せる
拷	ゴウ	拷問	　
剛	ゴウ	剛健，金剛力	　
傲	ゴウ	傲然，傲慢	　
豪	ゴウ	豪遊，豪雨，文豪	　
克	コク	克服，克明，克己	　
告	コク　つげる	告示，告白，報告告げる	　
谷	コク　たに	幽谷谷，谷川	　
刻	コク　きざむ	彫刻，時刻，深刻刻む，刻み	　
国（國）	コク　くに	国際，国家，外国国，島国	　
黒（黑）	コク　くろ　くろい	黒板，漆黒，暗黒黒，真っ黒，白黒黒い，黒さ，腹黒い	　
穀（穀）	コク	穀物，雑穀，脱穀	　
酷	コク	酷似，冷酷，残酷	　
獄	ゴク	獄舎，地獄，疑獄	　
骨	コツ　ほね	骨子，筋骨，老骨骨，骨折り	　
駒	こま	持ち駒	　
込	こむ　こめる	込む込める，やり込める	⇔混む  
頃	ころ	頃，日頃	　
今	コン　キン　いま	今後，今日，今朝，今年，昨今今上今，今し方	今日（きょう）今朝（けさ）今年（ことし）
困	コン　こまる	困難，困窮，貧困困る	　
昆	コン	昆虫，昆布	「昆布」は，「コブ」とも。
恨	コン　うらむ　うらめしい	遺恨，痛恨，悔恨恨む，恨み恨めしい	　
根	コン　ね	根拠，根気，平方根根，根強い，屋根	　
婚	コン	婚約，結婚，新婚	　
混	コン　まじる　まざる　まぜる　こむ  	混合，混雑，混迷混じる，混じり物混ざる混ぜる，混ぜ物混む，混み合う，人混み  	⇔交じる⇔交ざる⇔交ぜる⇔込む「混み合う」，「人混み」は，「込み合う」，「人込み」とも書く。
痕	コン　あと	痕跡，血痕痕，傷痕	⇔跡，後
紺	コン	紺青，紺屋，濃紺	「紺屋」は，「コウや」とも。
魂	コン　たましい	魂胆，霊魂，商魂魂，負けじ魂	　
墾	コン	開墾	　
懇	コン　ねんごろ	懇切，懇親会懇ろだ	　
左	サ　ひだり	左右，左翼，左遷左，左利き	　
佐	サ	佐幕，補佐，大佐	　
沙	サ	沙汰	　
査	サ	査察，調査，巡査	　
砂	サ　シャ　すな	砂丘，砂糖土砂砂，砂場	砂利（じゃり）
唆	サ　そそのかす	教唆，示唆唆す	　
差	サ　さす	差異，差別，誤差差す	差し支える（さしつかえる）⇔刺す，指す，挿す
詐	サ	詐欺，詐取，詐称	　
鎖	サ　くさり	鎖国，連鎖，封鎖鎖	　
座	ザ　すわる	座席，座談，星座座る，座り込み	⇔据わる
挫	ザ	挫折，頓挫	　
才	サイ	才能，才覚，秀才	　
再	サイ　　サ　ふたたび	再度，再選，再出発再来年，再来月，再来週再び	　
災	サイ　わざわい	災害，災難，火災災い	　
妻	サイ　つま	妻子，夫妻，良妻妻，人妻	　
采	サイ	采配，喝采	　
砕（碎）	サイ　くだく　くだける	砕石，砕氷，粉砕砕く砕ける	　
宰	サイ	宰領，宰相，主宰	　
栽	サイ	栽培，盆栽	　
彩	サイ　いろどる	彩色，色彩，淡彩彩る，彩り	　
採	サイ　とる	採集，採用，採光採る	⇔取る，執る，捕る
済（濟）	サイ　すむ　すます	返済，救済，経済済む，使用済み済ます	　
祭	サイ　まつる　まつり	祭礼，文化祭祭る，祭り上げる祭り，秋祭り	　
斎（齋）	サイ	斎場，潔斎，書斎	　
細	サイ　ほそい　ほそる　こまか　こまかい	細心，詳細，零細細い，細腕，心細い細る細かだ細かい	　
菜	サイ　な	菜園，菜食，野菜菜，青菜	　
最	サイ　もっとも	最大，最近，最先端最も	最寄り（もより）
裁	サイ　たつ　さばく	裁縫，裁判，体裁裁つ，裁ち物裁く，裁き	⇔断つ，絶つ
債	サイ	債務，負債，公債	　
催	サイ　もよおす	催眠，開催，主催催す，催し	　
塞	サイ　ソク　ふさぐ　ふさがる	要塞脳梗塞，閉塞塞ぐ塞がる	　
歳	サイ　　セイ	歳末，歳月，二十歳歳暮	二十歳（はたち） 
載	サイ　のせる　のる	積載，掲載，記載載せる載る	⇔乗せる⇔乗る
際	サイ　きわ	際限，交際，この際際，際立つ，窓際	　
埼	　さい		埼玉県
