亜（亞）	ア	亜流，亜麻，亜熱帯	　
跳	チョウ　はねる　とぶ	跳躍跳ねる跳ぶ，縄跳び	⇔飛ぶ
徴（徵）	チョウ	徴収，特徴，象徴	　
嘲	チョウ　あざける	嘲笑，自嘲嘲る	＊［（付）第２の３参照］
潮	チョウ　しお	潮流，満潮，風潮潮，潮風	　
澄	チョウ　すむ　すます	清澄澄む，上澄み澄ます，澄まし顔	　
調	チョウ　しらべる　ととのう　ととのえる	調和，調査，好調調べる，調べ調う調える	⇔整う⇔整える
聴（聽）	チョウ　きく	聴覚，聴衆，傍聴聴く	⇔聞く
懲（懲）	チョウ　こりる　こらす　こらしめる	懲罰，懲戒，懲役懲りる，性懲りもなく懲らす懲らしめる	　
直	チョク　ジキ　ただちに　なおす　なおる	直立，直接，実直直訴，直筆，正直直ちに直す，手直し直る，仲直り	⇔治す⇔治る
勅（敕）	チョク	勅語，勅使，詔勅	　
捗	チョク	進捗	＊［（付）第２の３参照］
沈	チン　しずむ　しずめる	沈滞，沈黙，浮沈沈む，浮き沈み沈める	⇔静める，鎮める
珍	チン　めずらしい	珍客，珍重，珍妙珍しい，珍しさ，珍しがる	　
朕	チン		　
陳	チン	陳列，陳謝，開陳	　
賃	チン	賃金，賃上げ，運賃	　
鎮（鎭）	チン　しずめる　しずまる	鎮座，鎮静，重鎮鎮める鎮まる	⇔静める，沈める⇔静まる
追	ツイ　おう	追跡，追放，訴追追う	　
椎	ツイ	椎間板，脊椎	　
墜	ツイ	墜落，墜死，撃墜	　
通	ツウ　　ツ　とおる　とおす　かよう	通行，通読，普通通夜通る，通り通す，通し通う，通い	　
痛	ツウ　いたい　いたむ　いためる	痛快，苦痛，心痛痛い，痛さ痛む，痛み，痛ましい痛める	⇔傷む，悼む⇔傷める
塚（塚）	つか	塚，貝塚	　
漬	つける　つかる	漬ける，漬物漬かる	　
坪	つぼ	坪数，建坪	　
爪	つめ　　つま	爪，生爪爪先，爪弾く	　
鶴	つる	鶴，千羽鶴	　
低	テイ　ひくい　ひくめる　ひくまる	低級，低気圧，高低低い，低さ低める低まる	　
呈	テイ	呈上，進呈，贈呈	　
廷	テイ	宮廷，法廷，出廷	　
弟	テイ　　ダイ　　デ　おとうと	弟妹，義弟，子弟兄弟弟子弟	　
定	テイ　ジョウ　さだめる　さだまる　さだか	定価，安定，決定定石，定紋，必定定める，定め定まる定かだ	　
底	テイ　そこ	底流，海底，到底底，奥底	　
抵	テイ	抵抗，抵触，大抵	　
邸	テイ	邸宅，邸内，私邸	　
亭	テイ	亭主，料亭	　
貞	テイ	貞淑，貞操，貞節	　
帝	テイ	帝王，帝国，皇帝	　
訂	テイ	訂正，改訂	　
庭	テイ　にわ	庭園，校庭，家庭庭，庭先	　
逓（遞）	テイ	逓信，逓送，逓減	　
停	テイ	停止，停車，調停	　
偵	テイ	偵察，探偵，内偵	　
堤	テイ　つつみ	堤防，防波堤堤	　
提	テイ　さげる	提供，提案，前提提げる，手提げ	⇔下げる
程	テイ　ほど	程度，日程，過程程，程遠い，身の程	　
艇	テイ	艦艇，舟艇，競艇	　
締	テイ　しまる　しめる	締結締まる，締まり締める，締め切る，引き締め	⇔閉まる，絞まる⇔閉める，絞める
諦	テイ　あきらめる	諦観，諦念諦める	　
泥	デイ　どろ	泥土，雲泥，拘泥泥，泥沼，泥棒	　
的	テキ　まと	的中，目的，科学的的，的外れ	　
笛	テキ　ふえ	汽笛，警笛，牧笛笛，口笛	　
摘	テキ　つむ	摘要，摘発，指摘摘む，摘み草	　
滴	テキ　しずく　したたる	水滴，点滴，一滴滴滴る，滴り	　
適	テキ	適切，適度，快適	　
敵	テキ　かたき	敵，敵意，匹敵敵，敵役，商売敵	　
溺	デキ　おぼれる	溺愛，溺死溺れる	＊［（付）第２の３参照］
迭	テツ	更迭	　
哲	テツ	哲学，哲人，先哲	　
鉄（鐵）	テツ	鉄道，鉄筋，鋼鉄	　
徹	テツ	徹底，徹夜，貫徹	　
撤	テツ	撤去，撤回，撤兵	　
天	テン　あめ　　あま	天地，天然，雨天天天の川，天下り	　
典	テン	典拠，古典，式典	　
店	テン　みせ	店舗，開店，本店店，夜店	　
点（點）	テン	点線，点火，採点	　
展	テン	展示，展開，発展	　
添	テン　そえる　そう	添加，添付，添削添える，添え手紙添う，付き添う	⇔沿う
転（轉）	テン　ころがる　ころげる　ころがす　ころぶ	転出，回転，運転転がる転げる転がす転ぶ	　
塡	テン	装塡，補塡	＊［（付）第２の３参照］
田	デン　た	田地，水田，油田田，田植え	田舎（いなか）
伝（傳）	デン　つたわる　つたえる　つたう	伝言，伝統，宣伝伝わる伝える，言い伝え伝う	伝馬船（てんません）手伝（てつだ）う
殿	デン　テン　との　どの	殿堂，宮殿，貴殿御殿殿様，殿方○○殿	　
電	デン	電気，電報，発電	　
斗	ト	斗酒，北斗七星	　
吐	ト　はく	吐露，吐血，音吐朗々吐く，吐き気	　
妬	ト　ねたむ	嫉妬妬む	　
徒	ト	徒歩，徒労，信徒	　
途	ト	途上，帰途，前途	　
都（都）	ト　ツ　みやこ	都会，都心，首都都合，都度都，都落ち	　
渡	ト　わたる　わたす	渡航，渡河，譲渡渡る，渡り渡す，渡し	　
塗	ト　ぬる	塗布，塗装，塗料塗る，塗り	　
賭	ト　かける	賭場，賭博賭ける，賭け	＊［（付）第２の３参照］⇔掛ける，懸ける，架ける
土	ド　ト　つち	土木，国土，粘土土地土，赤土	土産（みやげ）
奴	ド	奴隷，守銭奴	　
努	ド　つとめる	努力努める，努めて〔副〕	⇔勤める，務める
度	ド　　ト　　タク　たび	度胸，制度，限度法度支度度，度重なる，この度	　
怒	ド　いかる　おこる	怒号，怒気，激怒怒る，怒り，怒り狂う怒る	　
刀	トウ　かたな	刀剣，短刀，名刀刀	太刀（たち）竹刀（しない）
冬	トウ　ふゆ	冬季，冬至，越冬冬，冬枯れ	　
灯（燈）	トウ　ひ	灯火，電灯，点灯灯	⇔火
当（當）	トウ　あたる　あてる	当惑，当然，妥当当たる，当たり当てる，当て	⇔宛てる，充てる
投	トウ　なげる	投資，投下，暴投投げる，身投げ	投網（とあみ）
豆	トウ　　ズ　まめ	豆腐，納豆大豆豆，豆粒，煮豆	小豆（あずき）
東	トウ　ひがし	東西，東国，以東東，東側	　
到	トウ	到着，到底，周到	　
逃	トウ　にげる　にがす　のがす　のがれる	逃走，逃亡，逃避逃げる，夜逃げ逃がす逃す，見逃す逃れる，一時逃れ	　
倒	トウ　たおれる　たおす	倒産，圧倒，傾倒倒れる，共倒れ倒す	　
凍	トウ　こおる　こごえる	凍結，凍死，冷凍凍る，凍り付く凍える，凍え死に	　
唐	トウ　から	唐本，唐突唐織，唐草模様	　
島	トウ　しま	島民，半島，列島島，島国，離れ島	　
桃	トウ　もも	桃源郷，白桃，桜桃桃，桃色	　
討	トウ　うつ	討伐，討論，検討討つ，敵討ち	⇔打つ，撃つ
透	トウ　すく　すかす　すける	透写，透明，浸透透く透かす，透かし透ける	　
党（黨）	トウ	党派，政党，徒党	　
悼	トウ　いたむ	悼辞，哀悼，追悼悼む	⇔痛む，傷む
盗（盜）	トウ　ぬすむ	盗難，盗用，強盗盗む，盗み	　
陶	トウ	陶器，陶酔，薫陶	　
塔	トウ	五重の塔，石塔	　
搭	トウ	搭載，搭乗，搭乗券	　
棟	トウ　むね　　むな	上棟，病棟棟，別棟棟木	　
湯	トウ　ゆ	湯治，熱湯，微温湯湯，湯水，煮え湯	　
痘	トウ	種痘，水痘，天然痘	　
登	トウ　ト　のぼる	登壇，登校，登記登山，登城登る，山登り	⇔上る，昇る
答	トウ　こたえる　こたえ	答弁，応答，問答答える答え	⇔応える
等	トウ　ひとしい	等分，等級，平等等しい	　
筒	トウ　つつ	封筒，水筒，円筒形筒，筒抜け	　
統	トウ　すべる	統一，統計，伝統統べる	　
稲（稻）	トウ　いね　　いな	水稲，陸稲稲，稲刈り稲作，稲穂	　
踏	トウ　ふむ　ふまえる	踏破，踏襲，高踏的踏む，足踏み踏まえる	　
糖	トウ	糖分，砂糖，製糖	　
頭	トウ　ズ　　ト　あたま　かしら	頭部，年頭，船頭頭脳，頭上，頭痛音頭頭，頭金，頭打ち頭，頭文字，旗頭	　
謄	トウ	謄写，謄本	　
藤	トウ　ふじ	葛藤藤，藤色	　
闘（鬭）	トウ　たたかう	闘争，闘志，戦闘闘う，闘い	⇔戦う
騰	トウ	騰貴，暴騰，沸騰	　
同	ドウ　おなじ	同情，異同，混同同じ，同じだ，同い年	　
洞	ドウ　ほら	洞穴，洞察，空洞洞穴	　
胴	ドウ	胴体，双胴船	　
動	ドウ　うごく　うごかす	動物，活動，騒動動く，動き動かす	　
堂	ドウ　	堂々と，殿堂，母堂	　
童	ドウ　わらべ	童話，童心，児童童，童歌	　
道	ドウ　　トウ　みち	道路，道徳，報道神道道，近道	　
働	ドウ　はたらく	労働，実働働く，働き	　
銅	ドウ　	銅器，銅像，青銅	　
導	ドウ　みちびく	導入，指導，半導体導く，導き	　
瞳	ドウ　ひとみ	瞳孔瞳	　
峠	とうげ	峠，峠道	　
匿	トク	匿名，隠匿	　
特	トク	特殊，特産，独特	　
得	トク　える　うる	得意，会得，損得得る得るところ，書き得る	⇔獲る
督	トク	督促，督励，監督	　
徳（德）	トク	徳義，徳用，道徳	　
篤	トク	篤農，危篤，懇篤	　
毒	ドク	毒薬，毒舌，中毒	　
独（獨）	ドク　ひとり	独立，独断，単独独り，独り者	　
読（讀）	ドク　トク　　トウ　よむ	読書，音読，購読読本読点，句読点読む，読み	読経（どきょう）⇔詠む
栃	　とち		栃木県
凸	トツ	凸版，凸レンズ，凹凸	凸凹（でこぼこ）
突（突）	トツ　つく	突然，突端，衝突突く，一突き	　
届（屆）	とどける　とどく	届ける，届け届く，行き届く	　
屯	トン	駐屯，駐屯地	　
豚	トン　ぶた	養豚豚，子豚	　
頓	トン	頓着，整頓	　
貪	ドン　むさぼる	貪欲貪る	　
鈍	ドン　にぶい　にぶる	鈍感，鈍角，愚鈍鈍い，鈍さ鈍る	　
曇	ドン　くもる	曇天曇る，曇り	　
丼	どんぶり　　どん	丼，丼飯牛丼，天丼	　
那	ナ	刹那，旦那	　
奈	ナ	奈落	　
内	ナイ　　ダイ　うち	内外，内容，家内内裏，参内内，内側，内気	　
梨	なし	梨	　
謎［謎］	なぞ	謎	［謎］＝許容字体，＊［（付）第２の１参照］
鍋	なべ	鍋，鍋料理	　
南	ナン　　ナ　みなみ	南北，南端，指南南無南，南向き	　
軟	ナン　やわらか　やわらかい	軟化，軟弱，硬軟軟らかだ軟らかい	⇔柔らか⇔柔らかい
難（難）	ナン　かたい　むずかしい	難易，困難，非難許し難い，有り難い難しい，難しさ	「むつかしい」とも。
二	ニ　ふた　ふたつ	二番目，二分，十二月二重まぶた二つ	十重二十重（とえはたえ）二十・二十歳（はたち）二十日（はつか）二人（ふたり）二日（ふつか）⇔双
尼	ニ　あま	尼僧，修道尼尼，尼寺	　
弐（貳）	ニ	弐万円	　
匂	におう	匂う，匂い	⇔臭う
肉	ニク	肉類，肉薄，筋肉	　
虹	にじ	虹	　
日	ニチ　ジツ　ひ　か	日時，日光，毎日連日，平日，休日日，日帰り，月曜日三日，十日	明日（あす）昨日（きのう）今日（きょう）一日（ついたち）二十日（はつか）日和（ひより）二日（ふつか）
入	ニュウ　いる　いれる　はいる	入学，侵入，収入寝入る，大入り，気に入る入れる，入れ物入る	⇔要る
乳	ニュウ　ちち　ち	乳児，乳液，牛乳乳乳首，乳飲み子	乳母（うば）
尿	ニョウ	尿意，尿素，夜尿症	　
任	ニン　まかせる　まかす	任意，任務，責任任せる，人任せ任す	　
妊	ニン	妊娠，懐妊，不妊	　
忍	ニン　しのぶ　しのばせる	忍者，忍耐，残忍忍ぶ，忍び足，忍びやかだ忍ばせる	　
認	ニン　みとめる	認識，承認，否認認める	　
寧	ネイ	安寧，丁寧	　
熱	ネツ　あつい	熱病，熱湯，情熱熱い，熱さ	⇔暑い
年	ネン　とし	年代，少年，豊年年，年子，年寄り	今年（ことし）
念	ネン	念願，信念，断念	　
捻	ネン	捻挫，捻出	　
粘	ネン　ねばる	粘土，粘液，粘着粘る，粘り，粘り強い	　
燃	ネン　もえる　もやす　もす	燃焼，燃料，可燃性燃える，燃え尽きる燃やす燃す	　
悩（惱）	ノウ　なやむ　なやます	悩殺，苦悩，煩悩悩む，悩み，悩ましい悩ます	　
納	ノウ　　ナッ　　ナ　　ナン　　トウ　おさめる　おさまる	納入，納涼，収納納得，納豆納屋納戸出納納める，御用納め納まる，納まり	⇔収める⇔収まる
能	ノウ	能力，芸能，効能	　
脳（腦）	ノウ	脳髄，首脳，頭脳	　
農	ノウ	農業，農具，酪農	　
濃	ノウ　こい	濃厚，濃紺，濃淡濃い，濃さ	　
把	ハ	把握，把持，一把（ワ），三把（バ），十把（パ）	「把（ハ）」は，前に来る音によって「ワ」，「バ」，「パ」になる。
波	ハ　なみ	波浪，波及，電波波，波立つ，荒波	波止場（はとば）
派	ハ	派遣，派生，流派	　
破	ハ　やぶる　やぶれる	破壊，破産，撃破，破棄破る，型破り破れる，破れ	⇔敗れる
覇（霸）	ハ	覇権，覇者，制覇	　
馬	バ　うま　　ま	馬車，競馬，乗馬馬，馬小屋馬子，絵馬	伝馬船（てんません）
婆	バ	老婆，産婆役	　
罵	バ　ののしる	罵声，罵倒罵る	　
拝（拜）	ハイ　おがむ	拝見，拝礼，崇拝拝む，拝み倒す	　
杯	ハイ　さかずき	祝杯，銀杯，一杯杯	　
背	ハイ　せ　せい　そむく　そむける	背後，背景，腹背背，背丈，背中背，上背背く背ける	　
肺	ハイ	肺臓，肺炎，肺活量	　
俳	ハイ	俳優，俳句，俳味	　
配	ハイ　くばる	配分，交配，心配配る	　
排	ハイ	排斥，排気，排除	　
敗	ハイ　やぶれる	敗北，腐敗，失敗敗れる	⇔破れる
廃（廢）	ハイ　すたれる　すたる	廃止，廃物，荒廃廃れる廃る，はやり廃り	　
輩	ハイ	輩出，同輩，先輩	　
売（賣）	バイ　うる　うれる	売買，売品，商売売る，売り出す売れる，売れ行き	　
倍	バイ	倍率，倍加，二倍	　
梅（梅）	バイ　うめ	梅園，梅雨，紅梅梅，梅見，梅酒	梅雨（つゆ）
培	バイ　つちかう	培養，栽培培う	　
陪	バイ	陪席，陪食，陪審	　
媒	バイ	媒介，媒体，触媒	　
買	バイ　かう	買収，売買，購買買う，買い物	　
賠	バイ	賠償	　
白	ハク　ビャク　しろ　　しら　しろい	白髪，紅白，明白黒白白，白黒，真っ白白壁，白む，白ける白い	白髪（しらが）
伯	ハク	伯仲，画伯	伯父（おじ）伯母（おば）
拍	ハク　　ヒョウ	拍手，拍車，一拍拍子	　
泊	ハク　とまる　とめる	宿泊，停泊，外泊泊まる，泊まり泊める	⇔止まる，留まる⇔止める，留める
迫	ハク　せまる	迫害，脅迫，切迫迫る	　
剝	ハク　はがす　はぐ　はがれる　はげる	剝製，剝奪剝がす剝ぐ剝がれる剝げる	＊［（付）第２の３参照］
舶	ハク	舶来，船舶	　
博	ハク　　バク	博識，博覧，博士号博労，博徒	博士（はかせ）
薄	ハク　うすい　うすめる　うすまる　うすらぐ　うすれる	薄情，薄謝，軽薄薄い，薄着，品薄薄める薄まる薄らぐ薄れる	　
麦（麥）	バク　むぎ	麦芽，麦秋，精麦麦，麦粉，小麦	　
漠	バク	漠然，広漠，砂漠	　
縛	バク　しばる	束縛，捕縛縛る，金縛り	　
爆	バク	爆発，爆弾，原爆	　
箱	はこ	箱，箱庭，小箱	　
箸	はし	箸	＊［（付）第２の３【賭】参照］
畑	はた　はたけ	畑，畑作畑，畑違い，麦畑	　
肌	はだ	肌，肌色，地肌	　
八	ハチ　や　やつ　やっつ　　よう	八月，八方八重桜八つ当たり八つ八日	八百屋（やおや）八百長（やおちょう）
鉢	ハチ　　ハツ	鉢，植木鉢衣鉢	　
発（發）	ハツ　ホツ	発明，発射，突発発作，発端，発起	　
髪（髮）	ハツ　かみ	頭髪，白髪，整髪髪，髪結い，日本髪	白髪（しらが）
伐	バツ	伐採，征伐，殺伐	　
抜（拔）	バツ　ぬく　ぬける　ぬかす　ぬかる	抜群，選抜抜く，くぎ抜き抜ける，気抜け抜かす抜かる，抜かり	　
罰	バツ　バチ	罰金，処罰，天罰罰当たり	　
閥	バツ	門閥，財閥，派閥	　
反	ハン　　ホン　　タン　そる　そらす	反映，反対，違反謀反反物反る，反り反らす	　
半	ハン　なかば	半分，半面，大半半ば	　
氾	ハン	氾濫	　
犯	ハン　おかす	犯罪，共犯，侵犯犯す	⇔侵す，冒す
帆	ハン　ほ	帆船，帆走，出帆帆，帆柱，帆前船	　
汎	ハン	汎用	　
伴	ハン　バン　ともなう	同伴，随伴伴奏，伴食伴う	　
判	ハン　バン	判定，判明，裁判Ａ判，大判	　
坂	ハン　さか	急坂坂，坂道，下り坂	　
阪	ハン	阪神，京阪	大阪（おおさか）府
板	ハン　バン　いた	乾板，鉄板黒板，掲示板板，板前	　
版	ハン	版画，写真版，出版	　
班	ハン	班長，救護班	　
畔	ハン	湖畔	　
般	ハン	諸般，一般，先般	　
販	ハン	販売，販路，市販	　
斑	ハン	斑点	　
飯	ハン　めし	御飯，炊飯，赤飯飯，飯粒，五目飯	　
搬	ハン	搬入，搬出，運搬	　
煩	ハン　　ボン　わずらう　わずらわす	煩雑煩悩煩う，煩い，煩わしい煩わす	⇔患う
頒	ハン	頒布，頒価	　
範	ハン	範囲，師範，模範	　
繁（繁）	ハン	繁栄，繁茂，繁華街	　
藩	ハン	藩主，廃藩	　
晩（晚）	バン	晩夏，今晩，早晩	　
番	バン	番人，番組，順番	　
蛮（蠻）	バン	蛮行，蛮人，野蛮	　
盤	バン	基盤，円盤，碁盤	　
比	ヒ　くらべる	比較，比例，無比比べる，背比べ	　
皮	ヒ　かわ	皮膚，皮相，樹皮皮，毛皮	⇔革
妃	ヒ	妃殿下，王妃	　
否	ヒ　いな	否定，適否，安否否，否めない	　
批	ヒ	批判，批評，批准	　
彼	ヒ　かれ　　かの	彼我，彼岸彼，彼ら彼女	　
披	ヒ	披見，披露，直披	　
肥	ヒ　こえる　こえ　こやす　こやし	肥大，肥料，施肥肥える肥，下肥肥やす肥やし	　
非	ヒ	非難，非常，是非	　
卑（卑）	ヒ　いやしい　いやしむ　いやしめる	卑近，卑屈，卑下卑しい，卑しさ卑しむ卑しめる	　
飛	ヒ　とぶ　とばす	飛行，飛躍，雄飛飛ぶ，飛び火飛ばす	⇔跳ぶ
疲	ヒ　つかれる	疲労，疲弊疲れる，疲れ	　
秘（祕）	ヒ　ひめる	秘密，秘書，神秘秘める	　
被	ヒ　こうむる	被服，被害，被告被る	　
悲	ヒ　かなしい　かなしむ	悲喜，悲劇，慈悲悲しい，悲しがる悲しむ，悲しみ	　
扉	ヒ　とびら	開扉，門扉扉	　
費	ヒ　ついやす　ついえる	費用，消費，旅費費やす費える，費え	　
碑（碑）	ヒ	碑銘，石碑，記念碑	　
罷	ヒ	罷業，罷免	　
避	ヒ　さける	避難，逃避，不可避避ける	　
尾	ビ　お	尾行，首尾，末尾尾，尾頭付き，尾根	尻尾（しっぽ）
眉	ビ　　ミ　まゆ	眉目，焦眉眉間眉毛	　
美	ビ　うつくしい	美醜，美術，賛美美しい，美しさ	　
備	ビ　そなえる　そなわる	備考，守備，準備備える，備え備わる	⇔供える
微	ビ	微細，微笑，衰微	　
鼻	ビ　はな	鼻音，鼻孔，耳鼻科鼻，鼻血，小鼻	　
膝	ひざ	膝，膝頭	　
肘	ひじ	肘，肘掛け	　
匹	ヒツ　ひき	匹敵，匹夫，馬匹数匹	　
必	ヒツ　かならず	必然，必死，必要必ず，必ずしも	　
泌	ヒツ　ヒ	分泌泌尿器	「分泌」は，「ブンピ」とも。
筆	ヒツ　ふで	筆力，筆記，毛筆筆，筆先	　
姫	ひめ	姫，姫松	　
百	ヒャク	百貨店，百科全書，数百	八百屋（やおや）八百長（やおちょう）
氷	ヒョウ　こおり　ひ	氷点，氷山，結氷氷氷雨	　
表	ヒョウ　おもて　あらわす　あらわれる	表面，代表，発表表，表門，裏表表す表れる	⇔面⇔現す，著す⇔現れる
俵	ヒョウ　たわら	一俵，土俵俵，米俵	　
票	ヒョウ	票決，投票，伝票	　
評	ヒョウ	評価，評判，定評	　
漂	ヒョウ　ただよう	漂着，漂白，漂流漂う	　
標	ヒョウ	標準，標本，目標	　
苗	ビョウ　なえ　　なわ	種苗，痘苗苗，苗木苗代	早苗（さなえ）
秒	ビョウ	秒針，秒速，寸秒	　
病	ビョウ　　ヘイ　やむ　やまい	病気，病根，看病疾病病む，病み付き病	　
描	ビョウ　えがく　かく	描写，素描，点描描く，描き出す描く，絵描き	⇔書く
猫	ビョウ　ねこ	愛猫猫	　
品	ヒン　しな	品評，作品，上品品，品物，手品	　
浜（濱）	ヒン　はま	海浜浜，浜辺，砂浜	　
貧	ヒン　ビン　まずしい	貧富，貧弱，清貧貧乏貧しい，貧しさ	　
賓（賓）	ヒン	賓客，主賓，来賓	　
頻（頻）	ヒン	頻度，頻発，頻繁	　
敏（敏）	ビン	敏速，機敏，鋭敏	　
瓶（甁）	ビン	瓶，瓶詰，花瓶	　
不	フ　ブ	不当，不利，不賛成不作法，不用心	　
夫	フ　　フウ　おっと	夫妻，農夫，凡夫夫婦，工夫夫	　
父	フ　ちち	父母，父兄，祖父父，父親	叔父・伯父（おじ）父（とう）さん
付	フ　つける　つく	付与，交付，給付付ける，名付け付く，気付く	⇔着ける，就ける⇔着く，就く
布	フ　ぬの	布陣，綿布，分布布，布地，布目	　
扶	フ	扶助，扶養，扶育	　
府	フ	府県，首府，政府	　
怖	フ　こわい	恐怖怖い，怖がる	　
阜	　フ		岐阜県
附	フ	附属，寄附	　
訃	フ	訃報	　
負	フ　まける　まかす　おう	負担，負傷，勝負負ける，負け負かす負う，負い目，背負う	　
赴	フ　おもむく	赴任赴く	　
浮	フ　うく　うかれる　うかぶ　うかべる	浮沈，浮力，浮薄浮く，浮き，浮世絵浮かれる浮かぶ浮かべる	浮気（うわき）浮（うわ）つく
婦	フ	婦人，夫婦，主婦	　
符	フ	符号，切符，音符	　
富	フ　　フウ　とむ　とみ	富強，富裕，貧富富貴富む，富み栄える富	富山（とやま）県「富貴」は，「フッキ」とも。
普	フ	普通，普遍，普請	　
腐	フ　くさる　くされる　くさらす	腐心，腐敗，陳腐腐る腐れ縁，ふて腐れる腐らす	　
敷	フ　しく	敷設敷く，敷石，屋敷	桟敷（さじき）
膚	フ	皮膚，完膚	　
賦	フ	賦役，月賦，天賦	　
譜	フ	系譜，楽譜，年譜	　
侮（侮）	ブ　あなどる	侮辱，軽侮侮る，侮り	　
武	ブ　ム	武力，武士，文武武者人形，荒武者	　
部	ブ	部分，全部，本部	部屋（へや）
舞	ブ　まう　まい	舞踏，舞台，鼓舞舞う，舞い上がる舞，舞扇	　
封	フウ　ホウ	封鎖，封書，密封封建的，素封家	　
風	フウ　　フ　かぜ　　かざ	風力，風俗，強風風情，中風風，そよ風風上，風車	風邪（かぜ）
伏	フク　ふせる　ふす	伏線，起伏，潜伏伏せる，うつ伏せ伏す，伏し拝む	　
服	フク	服装，服従，洋服	　
副	フク	副業，副作用，正副	　
幅	フク　はば	幅員，振幅，全幅幅，横幅	　
復	フク	復活，往復，報復	　
福（福）	フク	福祉，福徳，幸福	　
腹	フク　はら	腹案，空腹，山腹腹，腹芸，太っ腹	　
複	フク	複数，複雑，重複	　
覆	フク　おおう　くつがえす　くつがえる	覆面，転覆覆う，覆い覆す覆る	　
払（拂）	フツ　はらう	払暁，払底払う，払い，月払い	　
沸	フツ　わく　わかす	沸騰，沸点，煮沸沸く，沸き上がる沸かす，湯沸かし	⇔湧く
仏（佛）	ブツ　ほとけ	仏事，仏像，念仏仏，仏様，生き仏	　
物	ブツ　モツ　もの	物質，人物，動物食物，進物，禁物物，物語，品物	果物（くだもの）
粉	フン　こ　こな	粉末，粉砕，粉飾粉，小麦粉粉，粉雪	　
